Transfermarkt ID,Player Name,Nationality,DOB,Position,Senior Clubs Played For
,Diego Maradona,Argentina,"Oct 30, 1960",FWD,"Argentinos Juniors, Boca Juniors, Barcelona, Napoli, Sevilla, Newell's Old Boys"
,Pelé,Brazil,"Oct 23, 1940",FWD,"Santos, New York Cosmos"
,Johan Cruyff,Netherlands,"Apr 25, 1947",FWD,"Ajax, Barcelona, Los Angeles Aztecs, Washington Diplomats, Levante, Feyenoord"
,Zinedine Zidane,France,"Jun 23, 1972",MID,"Cannes, Bordeaux, Juventus, Real Madrid"
,Ronaldo Nazário,Brazil,"Sep 18, 1976",FWD,"Cruzeiro, PSV Eindhoven, Barcelona, Inter Milan, Real Madrid, AC Milan, Corinthians"
,Ronaldinho,Brazil,"Mar 21, 1980",FWD,"Grêmio, Paris Saint-Germain, Barcelona, AC Milan, Flamengo, Atlético Mineiro, Querétaro, Fluminense"
,Thierry Henry,France,"Aug 17, 1977",FWD,"Monaco, Juventus, Arsenal, Barcelona, New York Red Bulls"
,Luís Figo,Portugal,"Nov 4, 1972",MID,"Sporting CP, Barcelona, Real Madrid, Inter Milan"
,Michel Platini,France,"Jun 21, 1955",MID,"Nancy, Saint-Étienne, Juventus"
,Marco van Basten,Netherlands,"Oct 31, 1964",FWD,"Ajax, AC Milan"
,Ruud Gullit,Netherlands,"Sep 1, 1962",MID,"HFC Haarlem, Feyenoord, PSV Eindhoven, AC Milan, Sampdoria, Chelsea"
,Frank Rijkaard,Netherlands,"Sep 30, 1962",MID,"Ajax, Sporting CP, Real Zaragoza, AC Milan"
,Lothar Matthäus,Germany,"Mar 21, 1961",MID,"Borussia Mönchengladbach, Bayern Munich, Inter Milan, MetroStars"
,Paolo Maldini,Italy,"Jun 26, 1968",DEF,AC Milan
,Franco Baresi,Italy,"May 8, 1960",DEF,AC Milan
,Alessandro Costacurta,Italy,"Apr 24, 1966",DEF,"AC Milan, Monza"
,Mauro Tassotti,Italy,"Jan 19, 1960",DEF,"Lazio, AC Milan"
,Roberto Baggio,Italy,"Feb 18, 1967",FWD,"Vicenza, Fiorentina, Juventus, AC Milan, Bologna, Inter Milan, Brescia"
,Romário,Brazil,"Jan 29, 1966",FWD,"Vasco da Gama, PSV Eindhoven, Barcelona, Flamengo, Valencia, Fluminense, Al-Sadd, Miami FC, Adelaide United, América-RJ"
,Rivaldo,Brazil,"Apr 19, 1972",FWD,"Mogi Mirim, Corinthians, Palmeiras, Deportivo La Coruña, Barcelona, AC Milan, Cruzeiro, Olympiacos, AEK Athens, Bunyodkor, São Paulo, Kabuscorp, São Caetano"
,Cafu,Brazil,"Jun 7, 1970",DEF,"São Paulo, Real Zaragoza, Juventude, Palmeiras, Roma, AC Milan"
,Roberto Carlos,Brazil,"Apr 10, 1973",DEF,"União São João, Palmeiras, Inter Milan, Real Madrid, Fenerbahçe, Corinthians, Anzhi Makhachkala, Delhi Dynamos"
,Gabriel Batistuta,Argentina,"Feb 1, 1969",FWD,"Newell's Old Boys, River Plate, Boca Juniors, Fiorentina, Roma, Inter Milan, Al-Arabi"
,Javier Zanetti,Argentina,"Aug 10, 1973",DEF,"Talleres RE, Banfield, Inter Milan"
,Alessandro Del Piero,Italy,"Nov 9, 1974",FWD,"Padova, Juventus, Sydney FC, Delhi Dynamos"
,Francesco Totti,Italy,"Sep 27, 1976",FWD,Roma
,Filippo Inzaghi,Italy,"Aug 9, 1973",FWD,"Piacenza, Albinoleffe, Verona, Parma, Atalanta, Juventus, AC Milan"
,Christian Vieri,Italy,"Jul 12, 1973",FWD,"Torino, Pisa, Ravenna, Venezia, Atalanta, Juventus, Atlético Madrid, Lazio, Inter Milan, AC Milan, Monaco, Fiorentina"
,Hernán Crespo,Argentina,"Jul 5, 1975",FWD,"River Plate, Parma, Lazio, Inter Milan, Chelsea, AC Milan, Genoa"
,Juan Román Riquelme,Argentina,"Jun 24, 1978",MID,"Boca Juniors, Barcelona, Villarreal, Argentinos Juniors"
,Clarence Seedorf,Netherlands,"Apr 1, 1976",MID,"Ajax, Sampdoria, Real Madrid, Inter Milan, AC Milan, Botafogo"
,Edgar Davids,Netherlands,"Mar 13, 1973",MID,"Ajax, AC Milan, Juventus, Barcelona, Inter Milan, Tottenham Hotspur, Crystal Palace, Barnet"
,Patrick Kluivert,Netherlands,"Jul 1, 1976",FWD,"Ajax, AC Milan, Barcelona, Newcastle United, Valencia, PSV Eindhoven, Lille"
,Edwin van der Sar,Netherlands,"Oct 29, 1970",GK,"Ajax, Juventus, Fulham, Manchester United, Noordwijk"
,Ruud van Nistelrooy,Netherlands,"Jul 1, 1976",FWD,"Den Bosch, Heerenveen, PSV Eindhoven, Manchester United, Real Madrid, Hamburger SV, Málaga"
,Dennis Bergkamp,Netherlands,"May 10, 1969",FWD,"Ajax, Inter Milan, Arsenal"
,Marc Overmars,Netherlands,"Mar 29, 1973",FWD,"Go Ahead Eagles, Willem II, Ajax, Arsenal, Barcelona"
,Oliver Kahn,Germany,"Jun 15, 1969",GK,"Karlsruher SC, Bayern Munich"
,Michael Ballack,Germany,"Sep 26, 1976",MID,"Chemnitzer FC, Kaiserslautern, Bayer Leverkusen, Bayern Munich, Chelsea"
,Miroslav Klose,Germany,"Jun 9, 1978",FWD,"FC Homburg, Kaiserslautern, Werder Bremen, Bayern Munich, Lazio"
,Oliver Bierhoff,Germany,"May 1, 1968",FWD,"KFC Uerdingen, Hamburger SV, Borussia Mönchengladbach, Austria Salzburg, Ascoli, Udinese, AC Milan, Monaco, Chievo"
,Jürgen Klinsmann,Germany,"Jul 30, 1964",FWD,"Stuttgarter Kickers, VfB Stuttgart, Inter Milan, Monaco, Tottenham Hotspur, Bayern Munich, Sampdoria, Orange County Blue Star"
,Rudi Völler,Germany,"Apr 13, 1960",FWD,"Kickers Offenbach, TSV 1860 Munich, Werder Bremen, Roma, Marseille, Bayer Leverkusen"
,Matthias Sammer,Germany,"Sep 5, 1967",DEF,"Dynamo Dresden, VfB Stuttgart, Inter Milan, Borussia Dortmund"
,Karl-Heinz Rummenigge,Germany,"Sep 25, 1955",FWD,"Bayern Munich, Inter Milan, Servette"
,Ryan Giggs,Wales,"Nov 29, 1973",MID,Manchester United
,Paul Scholes,England,"Nov 16, 1974",MID,Manchester United
,Roy Keane,Ireland,"Aug 10, 1971",MID,"Cobh Ramblers, Nottingham Forest, Manchester United, Celtic"
,Peter Schmeichel,Denmark,"Nov 18, 1963",GK,"Hvidovre, Brøndby, Manchester United, Sporting CP, Aston Villa, Manchester City"
,Gary Neville,England,"Feb 18, 1975",DEF,Manchester United
,Rio Ferdinand,England,"Nov 7, 1978",DEF,"West Ham United, Bournemouth, Leeds United, Manchester United, Queens Park Rangers"
,Eric Cantona,France,"May 24, 1966",FWD,"Auxerre, Martigues, Marseille, Bordeaux, Montpellier, Nîmes, Leeds United, Manchester United"
,Alan Shearer,England,"Aug 13, 1970",FWD,"Southampton, Blackburn Rovers, Newcastle United"
,Michael Owen,England,"Dec 14, 1979",FWD,"Liverpool, Real Madrid, Newcastle United, Manchester United, Stoke City"
,Robbie Fowler,England,"Apr 9, 1975",FWD,"Liverpool, Leeds United, Manchester City, Cardiff City, Blackburn Rovers, North Queensland Fury, Perth Glory, Muangthong United"
,Steven Gerrard,England,"May 30, 1980",MID,"Liverpool, LA Galaxy"
,Jamie Carragher,England,"Jan 28, 1978",DEF,Liverpool
,Patrick Vieira,France,"Jun 23, 1976",MID,"Cannes, AC Milan, Arsenal, Juventus, Inter Milan, Manchester City"
,Robert Pires,France,"Oct 29, 1973",MID,"Metz, Marseille, Arsenal, Villarreal, Aston Villa, FC Goa"
,Emmanuel Petit,France,"Sep 22, 1970",MID,"Monaco, Arsenal, Barcelona, Chelsea"
,Lilian Thuram,France,"Jan 1, 1972",DEF,"Monaco, Parma, Juventus, Barcelona"
,Marcel Desailly,France,"Sep 7, 1968",DEF,"Nantes, Marseille, AC Milan, Chelsea, Al-Gharafa, Qatar SC"
,Laurent Blanc,France,"Nov 19, 1965",DEF,"Montpellier, Napoli, Nîmes, Saint-Étienne, Auxerre, Barcelona, Marseille, Inter Milan, Manchester United"
,Didier Deschamps,France,"Oct 15, 1968",MID,"Nantes, Bordeaux, Marseille, Juventus, Chelsea, Valencia"
,David Trezeguet,France,"Oct 15, 1977",FWD,"Platense, Monaco, Juventus, Hércules, Baniyas, River Plate, Newell's Old Boys, Pune City"
,Nicolas Anelka,France,"Mar 14, 1979",FWD,"Paris Saint-Germain, Arsenal, Real Madrid, Liverpool, Manchester City, Fenerbahçe, Bolton Wanderers, Chelsea, Shanghai Shenhua, Juventus, West Ham United, Mumbai City"
,Youri Djorkaeff,France,"Mar 9, 1968",MID,"Grenoble, Strasbourg, Monaco, Paris Saint-Germain, Inter Milan, Kaiserslautern, Bolton Wanderers, Blackburn Rovers, New York Red Bulls"
,Michael Laudrup,Denmark,"Jun 15, 1964",MID,"KB, Brøndby, Juventus, Lazio, Barcelona, Real Madrid, Vissel Kobe, Ajax"
,Brian Laudrup,Denmark,"Feb 22, 1969",FWD,"Brøndby, Bayer Uerdingen, Bayern Munich, Fiorentina, Milan, Rangers, Chelsea, Copenhagen, Ajax"
,Hristo Stoichkov,Bulgaria,"Feb 8, 1966",FWD,"Hebros, CSKA Sofia, Barcelona, Parma, Al-Nassr, Kashiwa Reysol, Chicago Fire, D.C. United"
,Gheorghe Hagi,Romania,"Feb 5, 1965",MID,"Farul Constanța, Sportul Studențesc, Steaua București, Real Madrid, Brescia, Barcelona, Galatasaray"
,Davor Šuker,Croatia,"Jan 1, 1968",FWD,"Osijek, Dinamo Zagreb, Sevilla, Real Madrid, Arsenal, West Ham United, 1860 Munich"
,Zvonimir Boban,Croatia,"Oct 8, 1968",MID,"Dinamo Zagreb, AC Milan, Bari, Celta Vigo"
,Andriy Shevchenko,Ukraine,"Sep 29, 1976",FWD,"Dynamo Kyiv, AC Milan, Chelsea"
,Pavel Nedvěd,Czech Republic,"Aug 30, 1972",MID,"Dukla Prague, Sparta Prague, Lazio, Juventus"
,Predrag Mijatović,Montenegro,"Jan 19, 1969",FWD,"Budućnost Podgorica, Partizan, Valencia, Real Madrid, Fiorentina, Levante"
,Jari Litmanen,Finland,"Feb 20, 1971",MID,"Reipas, HJK, MyPa, Ajax, Barcelona, Liverpool, Hansa Rostock, Malmö FF, Lahti"
,George Weah,Liberia,"Oct 1, 1966",FWD,"Mighty Barrolle, Invincible Eleven, Tonnerre Yaoundé, Monaco, Paris Saint-Germain, AC Milan, Chelsea, Manchester City, Marseille, Al-Jazira"
,Abedi Pele,Ghana,"Nov 5, 1964",MID,"Real Tamale, Al-Sadd, Zürich, Dragons l'Ouémé, Niort, Mulhouse, Marseille, Lille, Lyon, Torino, 1860 Munich, Al-Ain"
,Nwankwo Kanu,Nigeria,"Aug 1, 1976",FWD,"Iwuanyanwu Nationale, Ajax, Inter Milan, Arsenal, West Ham United, Portsmouth"
,Jay-Jay Okocha,Nigeria,"Aug 14, 1973",MID,"Eintracht Frankfurt, Fenerbahçe, Paris Saint-Germain, Bolton Wanderers, Qatar SC, Hull City"
,Roger Milla,Cameroon,"May 20, 1952",FWD,"Éclair de Douala, Léopards de Douala, Tonnerre Yaoundé, Valenciennes, Monaco, Bastia, Saint-Étienne, Montpellier, Saint-Pierroise, Pelita Jaya, Bali United"
,Michael Essien,Ghana,"Dec 3, 1982",MID,"Liberty Professionals, Bastia, Lyon, Chelsea, Real Madrid, AC Milan, Panathinaikos, Persib Bandung, Sabail"
,Raúl González,Spain,"Jun 27, 1977",FWD,"Real Madrid, Schalke 04, Al-Sadd, New York Cosmos"
,Guti,Spain,"Oct 31, 1976",MID,"Real Madrid, Beşiktaş"
,Fernando Hierro,Spain,"Mar 23, 1968",DEF,"Real Valladolid, Real Madrid, Al-Rayan, Bolton Wanderers"
,Carles Puyol,Spain,"Apr 13, 1978",DEF,Barcelona
,Luis Enrique,Spain,"May 8, 1970",MID,"Sporting Gijón, Real Madrid, Barcelona"
,Pep Guardiola,Spain,"Jan 18, 1971",MID,"Barcelona, Brescia, Roma, Al-Ahli, Dorados de Sinaloa"
,Deco,Portugal,"Aug 27, 1977",MID,"Corinthians, Alverca, Salgueiros, Porto, Barcelona, Chelsea, Fluminense"
,Rui Costa,Portugal,"Mar 29, 1972",MID,"Benfica, Fafe, Fiorentina, AC Milan"
,Vítor Baía,Portugal,"Oct 15, 1969",GK,"Porto, Barcelona"
,Henrik Larsson,Sweden,"Sep 20, 1971",FWD,"Högaborg, Helsingborg, Feyenoord, Celtic, Barcelona, Manchester United, Råå IF"
,Shunsuke Nakamura,Japan,"Jun 24, 1978",MID,"Yokohama F. Marinos, Reggina, Celtic, Espanyol, Júbilo Iwata, Yokohama FC"
,Hidetoshi Nakata,Japan,"Jan 22, 1977",MID,"Bellmare Hiratsuka, Perugia, Roma, Parma, Bologna, Fiorentina, Bolton Wanderers"
,Claudio Caniggia,Argentina,"Jan 9, 1967",FWD,"River Plate, Verona, Atalanta, Roma, Benfica, Boca Juniors, Dundee, Rangers, Qatar SC, Wembley"
,Diego Simeone,Argentina,"Apr 28, 1970",MID,"Vélez Sarsfield, Pisa, Sevilla, Atlético Madrid, Inter Milan, Lazio, Racing Club"
,Juan Sebastián Verón,Argentina,"Mar 9, 1975",MID,"Estudiantes, Boca Juniors, Sampdoria, Parma, Lazio, Manchester United, Chelsea, Inter Milan, Brandsen"
,Bebeto,Brazil,"Feb 16, 1964",FWD,"Vitória, Flamengo, Vasco da Gama, Deportivo La Coruña, Sevilla, Cruzeiro, Toros Neza, Kashima Antlers, Botafogo, Al-Ittihad"
,Dunga,Brazil,"Oct 31, 1963",MID,"Internacional, Corinthians, Santos, Vasco da Gama, Pisa, Fiorentina, Pescara, VfB Stuttgart, Júbilo Iwata"
,Cristiano Ronaldo,Portugal,"Feb 5, 1985",FWD,"Sporting CP, Manchester United, Real Madrid, Juventus, Al-Nassr"
,Zlatan Ibrahimović,Sweden,"Oct 3, 1981",FWD,"Malmö FF, Ajax, Juventus, Inter Milan, Barcelona, AC Milan, Paris Saint-Germain, Los Angeles Galaxy, Manchester United"
,David Beckham,England,"May 2, 1975",MID,"Manchester United, Preston North End, Real Madrid, Los Angeles Galaxy, AC Milan, Paris Saint-Germain"
,Wayne Rooney,England,"Oct 24, 1985",FWD,"Everton, Manchester United, D.C. United, Derby County"
,Frank Lampard,England,"Jun 20, 1978",MID,"West Ham United, Swansea City, Chelsea, Manchester City, New York City FC"
,Samuel Eto'o,Cameroon,"Mar 10, 1981",FWD,"Real Madrid, Leganés, Espanyol, Mallorca, Barcelona, Inter Milan, Anzhi Makhachkala, Chelsea, Everton, Sampdoria, Antalyaspor, Konyaspor, Qatar SC"
,Kaká,Brazil,"Apr 22, 1982",MID,"São Paulo, AC Milan, Real Madrid, Orlando City SC"
,Andrea Pirlo,Italy,"May 19, 1979",MID,"Brescia, Inter Milan, Reggina, AC Milan, Juventus, New York City FC"
,Sergio Agüero,Argentina,"Jun 2, 1988",FWD,"Independiente, Atlético Madrid, Manchester City, Barcelona"
,Cesc Fàbregas,Spain,"May 4, 1987",MID,"Arsenal, Barcelona, Chelsea, Monaco, Como"
,David Silva,Spain,"Jan 8, 1986",MID,"Valencia, Eibar, Celta Vigo, Manchester City, Real Sociedad"
,David Villa,Spain,"Dec 3, 1981",FWD,"Sporting Gijón, Real Zaragoza, Valencia, Barcelona, Atlético Madrid, New York City FC, Melbourne City, Vissel Kobe"
,Karim Benzema,France,"Dec 19, 1987",FWD,"Lyon, Real Madrid, Al-Ittihad"
,Luka Modrić,Croatia,"Sep 9, 1985",MID,"Dinamo Zagreb, Zrinjski Mostar, Inter Zaprešić, Tottenham Hotspur, Real Madrid"
,Gareth Bale,Wales,"Jul 16, 1989",FWD,"Southampton, Tottenham Hotspur, Real Madrid, Los Angeles FC"
,Robin van Persie,Netherlands,"Aug 6, 1983",FWD,"Feyenoord, Arsenal, Manchester United, Fenerbahçe"
,Xabi Alonso,Spain,"Nov 25, 1981",MID,"Real Sociedad, Eibar, Liverpool, Real Madrid, Bayern Munich"
,Fernando Torres,Spain,"Mar 20, 1984",FWD,"Atlético Madrid, Liverpool, Chelsea, AC Milan, Sagan Tosu"
,Didier Drogba,Ivory Coast,"Mar 11, 1978",FWD,"Le Mans, Guingamp, Marseille, Chelsea, Shanghai Shenhua, Galatasaray, Montreal Impact, Phoenix Rising"
,Ashley Cole,England,"Dec 20, 1980",DEF,"Arsenal, Crystal Palace, Chelsea, Roma, Los Angeles Galaxy, Derby County"
,Petr Čech,Czech Republic,"May 20, 1982",GK,"Chmel Blšany, Sparta Prague, Rennes, Chelsea, Arsenal"
,John Terry,England,"Dec 7, 1980",DEF,"Chelsea, Nottingham Forest, Aston Villa"
,Carlos Tevez,Argentina,"Feb 5, 1984",FWD,"Boca Juniors, Corinthians, West Ham United, Manchester United, Manchester City, Juventus, Shanghai Shenhua"
,Arjen Robben,Netherlands,"Jan 23, 1984",FWD,"Groningen, PSV Eindhoven, Chelsea, Real Madrid, Bayern Munich"
,Wesley Sneijder,Netherlands,"Jun 9, 1984",MID,"Ajax, Real Madrid, Inter Milan, Galatasaray, Nice, Al-Gharafa"
,Dani Alves,Brazil,"May 6, 1983",DEF,"Bahia, Sevilla, Barcelona, Juventus, Paris Saint-Germain, São Paulo, UNAM Pumas"
,Gerard Piqué,Spain,"Feb 2, 1987",DEF,"Manchester United, Real Zaragoza, Barcelona"
,Iker Casillas,Spain,"May 20, 1981",GK,"Real Madrid, Porto"
,Sergio Ramos,Spain,"Mar 30, 1986",DEF,"Sevilla, Real Madrid, Paris Saint-Germain, Al-Orobah"
,Marcelo,Brazil,"May 12, 1988",DEF,"Fluminense, Real Madrid, Olympiacos"
,Gianluigi Buffon,Italy,"Jan 28, 1978",GK,"Parma, Juventus, Paris Saint-Germain"
,Neymar,Brazil,"Feb 5, 1992",FWD,"Santos, Barcelona, Paris Saint-Germain, Al-Hilal"
,Luis Suárez,Uruguay,"Jan 24, 1987",FWD,"Nacional, Groningen, Ajax, Liverpool, Barcelona, Atlético Madrid, Grêmio, Inter Miami"
,Alexis Sánchez,Chile,"Dec 19, 1988",FWD,"Cobreloa, Colo-Colo, River Plate, Udinese, Barcelona, Arsenal, Manchester United, Inter Milan, Marseille"
,Radamel Falcao,Colombia,"Feb 10, 1986",FWD,"Lanceros Boyacá, River Plate, Porto, Atlético Madrid, Monaco, Manchester United, Chelsea, Galatasaray, Rayo Vallecano, Millonarios"
,Diego Costa,Spain,"Oct 7, 1988",FWD,"Penafiel, Braga, Atlético Madrid, Celta Vigo, Albacete, Real Valladolid, Rayo Vallecano, Chelsea, Atlético Mineiro, Wolverhampton Wanderers, Botafogo, Grêmio"
,James Rodríguez,Colombia,"Jul 12, 1991",MID,"Envigado, Banfield, Porto, Monaco, Real Madrid, Bayern Munich, Everton, Al-Rayyan, Olympiacos, São Paulo, Rayo Vallecano"
,Paul Pogba,France,"Mar 15, 1993",MID,"Manchester United, Juventus"
,Bastian Schweinsteiger,Germany,"Aug 1, 1984",MID,"Bayern Munich, Manchester United, Chicago Fire"
,Toni Kroos,Germany,"Jan 4, 1990",MID,"Bayern Munich, Bayer Leverkusen, Real Madrid"
,Philipp Lahm,Germany,"Nov 11, 1983",DEF,"Bayern Munich, VfB Stuttgart"
,Manuel Neuer,Germany,"Mar 27, 1986",GK,"Schalke 04, Bayern Munich"
,Robert Lewandowski,Poland,"Aug 21, 1988",FWD,"Delta Warsaw, Legia Warsaw II, Znicz Pruszków, Lech Poznań, Borussia Dortmund, Bayern Munich, Barcelona"
,Eden Hazard,Belgium,"Jan 7, 1991",FWD,"Lille, Chelsea, Real Madrid"
,Kevin De Bruyne,Belgium,"Jun 28, 1991",MID,"Genk, Werder Bremen, Chelsea, VfL Wolfsburg, Manchester City"
,Romelu Lukaku,Belgium,"May 13, 1993",FWD,"Anderlecht, Chelsea, West Bromwich Albion, Everton, Manchester United, Inter Milan, Roma, Napoli"
,Álvaro Morata,Spain,"Oct 23, 1992",FWD,"Real Madrid, Juventus, Chelsea, Atlético Madrid, AC Milan"
,Raheem Sterling,England,"Dec 8, 1994",FWD,"QPR, Liverpool, Manchester City, Chelsea, Arsenal"
,Mohamed Salah,Egypt,"Jun 15, 1992",FWD,"El Mokawloon, Basel, Chelsea, Fiorentina, Roma, Liverpool"
,Xavi,Spain,"Jan 25, 1980",MID,"Barcelona, Al-Sadd"
,Franz Beckenbauer,Germany,"Sep 11, 1945",DEF,"Bayern Munich, New York Cosmos, Hamburger SV"
,Gerd Müller,Germany,"Nov 3, 1945",FWD,"TSV 1861 Nördlingen, Bayern Munich, Fort Lauderdale Strikers"
,Eusebio,Portugal,"Jan 25, 1942",FWD,"Sporting de Lourenço Marques, Benfica, Boston Minutemen, Monterrey, Toronto Metros-Croatia, Beira-Mar, Las Vegas Quicksilvers, União de Tomar, New Jersey Americans"
,Ferenc Puskás,Hungary,"Apr 1, 1927",FWD,"Budapest Honvéd, Real Madrid"
,Alfredo Di Stéfano,Argentina / Spain,"Jul 4, 1926",FWD,"River Plate, Huracán, Millonarios, Real Madrid, Espanyol"
,Garrincha,Brazil,"Oct 28, 1933",FWD,"Botafogo, Corinthians, Atlético Junior, Flamengo, Olaria"
,Bobby Charlton,England,"Oct 11, 1937",MID,"Manchester United, Preston North End, Waterford"
,George Best,Northern Ireland,"May 22, 1946",FWD,"Manchester United, Stockport County, Cork Celtic, Los Angeles Aztecs, Fulham, Fort Lauderdale Strikers, Hibernian, San Jose Earthquakes, Bournemouth, Brisbane Lions"
,Lev Yashin,Russia,"Oct 22, 1929",GK,Dynamo Moscow
,Zico,Brazil,"Mar 3, 1953",MID,"Flamengo, Udinese, Kashima Antlers"
,Sócrates,Brazil,"Feb 19, 1954",MID,"Botafogo-SP, Corinthians, Fiorentina, Flamengo, Santos"
,Falcão,Brazil,"Oct 16, 1953",MID,"Internacional, Roma, São Paulo"
,Dino Zoff,Italy,"Feb 28, 1942",GK,"Udinese, Mantova, Napoli, Juventus"
,Giacinto Facchetti,Italy,"Jul 18, 1942",DEF,Inter Milan
,Gianni Rivera,Italy,"Aug 18, 1943",MID,"Alessandria, AC Milan"
,Gigi Riva,Italy,"Nov 7, 1944",FWD,"Legnano, Cagliari"
,Bobby Moore,England,"Apr 12, 1941",DEF,"West Ham United, Fulham, San Antonio Thunder, Seattle Sounders, Herning Fremad"
,Gordon Banks,England,"Dec 30, 1937",GK,"Chesterfield, Leicester City, Stoke City, Fort Lauderdale Strikers"
,Kevin Keegan,England,"Feb 14, 1951",FWD,"Scunthorpe United, Liverpool, Hamburger SV, Southampton, Newcastle United, Blacktown City"
,Kenny Dalglish,Scotland,"Mar 4, 1951",FWD,"Celtic, Liverpool"
,Graeme Souness,Scotland,"May 6, 1953",MID,"Tottenham Hotspur, Middlesbrough, Sampdoria, Rangers"
