Transfermarkt ID,Player Name,Nationality,DOB,Position,Senior Clubs Played For
,Ian Rush,Wales,"Oct 20, 1961",FWD,"Chester City, Liverpool, Juventus, Leeds United, Newcastle United, Sheffield United, Wrexham, Sydney Olympic"
,John Barnes,England,"Nov 7, 1963",MID,"Watford, Liverpool, Newcastle United, Charlton Athletic"
,Gary Lineker,England,"Nov 30, 1960",FWD,"Leicester City, Everton, Barcelona, Tottenham Hotspur, Nagoya Grampus Eight"
,Bryan Robson,England,"Jan 11, 1957",MID,"West Bromwich Albion, Manchester United, Middlesbrough"
,Glenn Hoddle,England,"Oct 27, 1957",MID,"Tottenham Hotspur, Monaco, Swindon Town, Chelsea"
,Paul Gascoigne,England,"May 27, 1967",MID,"Newcastle United, Tottenham Hotspur, Lazio, Rangers, Middlesbrough, Everton, Burnley, Gansu Tianma, Boston United"
,Chris Waddle,England,"Dec 14, 1960",MID,"Tow Law Town, Newcastle United, Tottenham Hotspur, Marseille, Sheffield Wednesday, Bradford City, Sunderland, Burnley, Torquay United"
,Sepp Maier,Germany,"Feb 28, 1944",GK,Bayern Munich
,Paul Breitner,Germany,"Sep 5, 1951",MID,"Bayern Munich, Real Madrid, Eintracht Braunschweig"
,Uli Hoeness,Germany,"Jan 5, 1952",MID,"Bayern Munich, 1860 Munich"
,Karl-Heinz Förster,Germany,"Jul 25, 1958",DEF,"VfB Stuttgart, Marseille"
,Hans-Peter Briegel,Germany,"Oct 11, 1955",DEF,"Kaiserslautern, Hellas Verona, Sampdoria"
,Klaus Allofs,Germany,"Dec 5, 1956",FWD,"Fortuna Düsseldorf, FC Köln, Marseille, Bordeaux, Werder Bremen"
,Raymond Kopa,France,"Oct 13, 1931",MID,"Angers, Reims, Real Madrid"
,Just Fontaine,France,"Aug 18, 1933",FWD,"USM Casablanca, Nice, Reims"
,Jean-Pierre Papin,France,"Nov 5, 1963",FWD,"Valenciennes, Club Brugge, Marseille, AC Milan, Bayern Munich, Bordeaux, Guingamp"
,Alain Giresse,France,"Aug 2, 1952",MID,"Bordeaux, Marseille"
,Jean Tigana,France,"Jun 23, 1955",MID,"Toulon, Lyon, Bordeaux, Marseille"
,Luis Aragonés,Spain,"Jul 28, 1938",MID,"Getafe, Real Madrid, Recreativo Huelva, Hércules, Úbeda, Plus Ultra, Real Oviedo, Real Betis, Atlético Madrid"
,Telmo Zarra,Spain,"Jan 20, 1921",FWD,"Erandio, Athletic Bilbao, Indautxu, Barakaldo"
,Emilio Butragueño,Spain,"Jul 22, 1963",FWD,"Real Madrid, Atletico Celaya"
,Míchel,Spain,"Mar 23, 1963",MID,"Real Madrid, Atletico Celaya"
,José Antonio Camacho,Spain,"Jun 8, 1955",DEF,Real Madrid
,Andoni Zubizarreta,Spain,"Oct 23, 1961",GK,"Alavés, Athletic Bilbao, Barcelona, Valencia"
,Gaetano Scirea,Italy,"May 25, 1953",DEF,"Atalanta, Juventus"
,Marco Tardelli,Italy,"Sep 24, 1954",MID,"Pisa, Como, Juventus, Inter Milan, St. Gallen"
,Claudio Gentile,Italy,"Sep 27, 1953",DEF,"Arona, Varese, Juventus, Fiorentina, Piacenza"
,Antonio Cabrini,Italy,"Oct 8, 1957",DEF,"Cremonese, Atalanta, Juventus, Bologna"
,Bruno Conti,Italy,"Mar 13, 1955",MID,"Roma, Genoa"
,Gianluca Vialli,Italy,"Jul 9, 1964",FWD,"Cremonese, Sampdoria, Juventus, Chelsea"
,Roberto Mancini,Italy,"Nov 27, 1964",FWD,"Bologna, Sampdoria, Lazio, Leicester City"
,Giuseppe Bergomi,Italy,"Dec 22, 1963",DEF,Inter Milan
,Gianfranco Zola,Italy,"Jul 5, 1966",FWD,"Nuorese, Torres, Napoli, Parma, Chelsea, Cagliari"
,Ruud Krol,Netherlands,"Dec 20, 1949",DEF,"Ajax, Vancouver Whitecaps, Napoli, Cannes"
,Johan Neeskens,Netherlands,"Sep 15, 1951",MID,"Racing Club Heemstede, Ajax, Barcelona, New York Cosmos, Groningen, South Florida Sun, Kansas City Comets, Löwenbrau, Baar, Zug"
,Johnny Rep,Netherlands,"Nov 25, 1951",FWD,"Ajax, Valencia, Bastia, Saint-Étienne, PEC Zwolle, Feyenoord, Haarlem"
,Ronald Koeman,Netherlands,"Mar 21, 1963",DEF,"Groningen, Ajax, PSV Eindhoven, Barcelona, Feyenoord"
,Frank de Boer,Netherlands,"May 15, 1970",DEF,"Ajax, Barcelona, Galatasaray, Rangers, Al-Rayyan, Al-Shamal"
,Ronald de Boer,Netherlands,"May 15, 1970",MID,"Ajax, Twente, Barcelona, Rangers, Al-Rayyan, Al-Shamal"
,Sándor Kocsis,Hungary,"Sep 21, 1929",FWD,"Ferencváros, Budapest Honvéd, Young Fellows Zürich, Barcelona"
,Nándor Hidegkuti,Hungary,"Mar 3, 1922",FWD,"Elektromos, MTK Budapest"
,József Bozsik,Hungary,"Nov 28, 1925",MID,Budapest Honvéd
,Rinat Dasayev,Russia,"Jun 13, 1957",GK,"Volgar Astrakhan, Spartak Moscow, Sevilla"
,Valentin Ivanov,Russia,"Nov 19, 1934",FWD,"Krylya Sovetov Moscow, Torpedo Moscow"
,Dragan Džajić,Serbia,"May 30, 1946",FWD,"Red Star Belgrade, Bastia"
,Siniša Mihajlović,Serbia,"Feb 20, 1969",DEF,"Borovo, Vojvodina, Red Star Belgrade, Roma, Sampdoria, Lazio, Inter Milan"
,Dejan Savićević,Montenegro,"Sep 15, 1966",MID,"Budućnost Podgorica, Red Star Belgrade, AC Milan, Rapid Wien"
,Robert Prosinečki,Croatia,"Jan 12, 1969",MID,"Dinamo Zagreb, Red Star Belgrade, Real Madrid, Real Oviedo, Barcelona, Sevilla, Croatia Zagreb, Hrvatski Dragovoljac, Standard Liège, Portsmouth, Olimpija Ljubljana, NK Zagreb"
,Darko Pančev,North Macedonia,"Sep 7, 1965",FWD,"Vardar, Red Star Belgrade, Inter Milan, VfB Leipzig, Fortuna Düsseldorf, Sion"
,Daniel Passarella,Argentina,"May 25, 1953",DEF,"Sarmiento, River Plate, Fiorentina, Inter Milan"
,Mario Kempes,Argentina,"Jul 15, 1954",FWD,"Instituto, Rosario Central, Valencia, River Plate, Hércules, First Vienna, Sankt Pölten, Kremser SC, Fernández Vial, Pelita Jaya"
,Ubaldo Fillol,Argentina,"Jul 21, 1950",GK,"Quilmes, Racing Club, River Plate, Argentinos Juniors, Flamengo, Atlético Madrid, Vélez Sarsfield"
,Jorge Valdano,Argentina,"Oct 4, 1955",FWD,"Newell's Old Boys, Alavés, Real Zaragoza, Real Madrid"
,Oscar Ruggeri,Argentina,"Jan 26, 1962",DEF,"Boca Juniors, River Plate, Logroñés, Real Madrid, Vélez Sarsfield, Ancona, América, San Lorenzo, Lanús"
,Carlos Valderrama,Colombia,"Sep 2, 1961",MID,"Unión Magdalena, Millonarios, Deportivo Cali, Montpellier, Real Valladolid, Independiente Medellín, Atlético Junior, Tampa Bay Mutiny, Miami Fusion, Colorado Rapids"
,Faustino Asprilla,Colombia,"Nov 10, 1969",FWD,"Cúcuta Deportivo, Atlético Nacional, Parma, Newcastle United, Palmeiras, Fluminense, Atlante, Cortuluá, Universidad de Chile, Estudiantes"
,Freddy Rincón,Colombia,"Aug 14, 1966",MID,"Atlético Buenaventura, Deportes Tolima, Santa Fe, América de Cali, Palmeiras, Napoli, Real Madrid, Corinthians, Santos, Cruzeiro"
,René Higuita,Colombia,"Aug 27, 1966",GK,"Atlético Nacional, Millonarios, Real Valladolid, Veracruz, Independiente Medellín, Real Cartagena, Junior, Aucas, Bajo Cauca, Guaros FC, Deportivo Rionegri, Deportivo Pereira"
,José Luis Chilavert,Paraguay,"Jul 27, 1965",GK,"Sportivo Luqueño, Guaraní, San Lorenzo, Real Zaragoza, Vélez Sarsfield, Strasbourg, Peñarol"
,Iván Zamorano,Chile,"Jan 18, 1967",FWD,"Cobresal, Trasandino, Cobreloa, St. Gallen, Sevilla, Real Madrid, Inter Milan, América, Colo-Colo"
,Marcelo Salas,Chile,"Dec 24, 1974",FWD,"Universidad de Chile, River Plate, Lazio, Juventus"
,Teófilo Cubillas,Peru,"Mar 8, 1949",MID,"Alianza Lima, Basel, Porto, Fort Lauderdale Strikers, Miami Sharks"
,Hugo Sánchez,Mexico,"Jul 11, 1958",FWD,"UNAM, San Diego Sockers, Atlético Madrid, Real Madrid, América, Rayo Vallecano, Atlante, Linz, Dallas Burn, Celaya"
,Jorge Campos,Mexico,"Oct 15, 1966",GK,"UNAM, Atlante, Los Angeles Galaxy, Cruz Azul, Chicago Fire, Tigres UANL, Puebla"
,Rabah Madjer,Algeria,"Feb 15, 1958",FWD,"NA Hussein Dey, Racing Club de France, Tours, Porto, Valencia, Qatar SC"
,Lakhdar Belloumi,Algeria,"Dec 29, 1958",MID,"GC Mascara, MP Oran, MC Alger, USM Bel Abbès, ASM Oran"
,Thomas N'Kono,Cameroon,"Jul 20, 1956",GK,"Canon Yaoundé, Tonnerre Yaoundé, Espanyol, Sabadell, Hospitalet, Bolívar"
,Rigobert Song,Cameroon,"Jul 1, 1976",DEF,"Tonnerre Yaoundé, Metz, Salernitana, Liverpool, West Ham United, FC Köln, Galatasaray, Trabzonspor"
,Kalusha Bwalya,Zambia,"Aug 16, 1963",MID,"Mufulira Wanderers, Cercle Brugge, PSV Eindhoven, América, Necaxa, Al-Wahda, León, Irapuato, Veracruz, Correcaminos"
,Lucas Radebe,South Africa,"Apr 12, 1969",DEF,"Kaizer Chiefs, Leeds United"
,Cha Bum-kun,South Korea,"May 22, 1953",FWD,"Seoul Trust Bank, Air Force FC, SV Darmstadt 98, Eintracht Frankfurt, Bayer Leverkusen"
,Kazuyoshi Miura,Japan,"Feb 26, 1967",FWD,"Juventus-SP, Santos, Matsubara, CRB, XV de Jaú, Coritiba, Verdy Kawasaki, Genoa, Croatia Zagreb, Kyoto Purple Sanga, Vissel Kobe, Yokohama FC, Sydney FC, Atletico Suzuka"
,Ali Daei,Iran,"Mar 21, 1969",FWD,"Taxirani, Bank Tejarat, Al-Sadd, Arminia Bielefeld, Bayern Munich, Hertha BSC, Al-Shabab, Saba Battery, Persepolis, Saipa"
,Majed Abdullah,Saudi Arabia,"Nov 1, 1959",FWD,Al-Nassr
,Saeed Al-Owairan,Saudi Arabia,"Aug 19, 1967",MID,Al-Shabab
,Wynton Rufer,New Zealand,"Dec 29, 1962",FWD,"Stop Out, Wellington Diamond United, Norwich City, FC Zürich, Aarau, Grasshopper, Werder Bremen, JEF United Ichihara, Central United, Football Kingz"
,Alessandro Nesta,Italy,"Mar 19, 1976",DEF,"Lazio, AC Milan, Montreal Impact, Chennaiyin FC"
,Fabio Cannavaro,Italy,"Sep 13, 1973",DEF,"Napoli, Parma, Inter Milan, Juventus, Real Madrid, Al-Ahli"
,Giorgio Chiellini,Italy,"Aug 14, 1984",DEF,"Livorno, Fiorentina, Juventus, Los Angeles FC"
,Andrés Iniesta,Spain,"May 11, 1984",MID,"Barcelona, Vissel Kobe, Emirates Club"
,Carlos Alberto,Brazil,"Jul 17, 1944",DEF,"Fluminense, Santos, Flamengo, New York Cosmos, California Surf"
,Nemanja Vidić,Serbia,"Oct 21, 1981",DEF,"Red Star Belgrade, Spartak Subotica, Spartak Moscow, Manchester United, Inter Milan"
,Claude Makélélé,France,"Feb 18, 1973",MID,"Nantes, Marseille, Celta Vigo, Real Madrid, Chelsea, Paris Saint-Germain"
,Breno (Bledorn Verri),Brazil,"Oct 13, 1989",DEF,"São Paulo, Bayern Munich, Nürnberg, Vasco da Gama"
,Gennaro Gattuso,Italy,"Jan 9, 1978",MID,"Perugia, Rangers, Salernitana, AC Milan, Sion"
,Sol Campbell,England,"Sep 18, 1974",DEF,"Tottenham Hotspur, Arsenal, Portsmouth, Notts County, Newcastle United"
,Gianluca Zambrotta,Italy,"Feb 19, 1977",DEF,"Como, Bari, Juventus, Barcelona, AC Milan, Chiasso"
,Javier Mascherano,Argentina,"Jun 8, 1984",DEF,"River Plate, Corinthians, West Ham United, Liverpool, Barcelona, Hebei China Fortune, Estudiantes"
,Rafael Márquez,Mexico,"Feb 13, 1979",DEF,"Atlas, Monaco, Barcelona, New York Red Bulls, León, Hellas Verona"
,Paulo Futre,Portugal,"Feb 28, 1966",FWD,"Sporting CP, Porto, Atlético Madrid, Benfica, Marseille, Reggiana, AC Milan, West Ham United, Yokohama Flügels"
,Bixente Lizarazu,France,"Dec 9, 1969",DEF,"Bordeaux, Athletic Bilbao, Bayern Munich, Marseille"
,Diego Forlán,Uruguay,"May 19, 1979",FWD,"Independiente, Manchester United, Villarreal, Atlético Madrid, Inter Milan, Internacional, Cerezo Osaka, Peñarol, Mumbai City, Kitchee"
,Ricardo Carvalho,Portugal,"May 18, 1978",DEF,"Leça, Porto, Vitória Setúbal, Alverca, Chelsea, Real Madrid, Monaco, Shanghai SIPG"
,Diego Milito,Argentina,"Jun 12, 1979",FWD,"Racing Club, Genoa, Real Zaragoza, Inter Milan"
,Mario Gómez,Germany,"Jul 10, 1985",FWD,"VfB Stuttgart, Bayern Munich, Fiorentina, Beşiktaş"
,Vincent Kompany,Belgium,"Apr 10, 1986",DEF,"Anderlecht, Hamburger SV, Manchester City"
,Douglas Maicon,Brazil,"Jul 26, 1981",DEF,"Cruzeiro, Monaco, Inter Milan, Manchester City, Roma, Avaí, Criciúma, Villa Nova, Sona"
,David Ginola,France,"Jan 25, 1967",MID,"Toulon, Racing Club de France, Brest, Paris Saint-Germain, Newcastle United, Tottenham Hotspur, Aston Villa, Everton"
,Jürgen Kohler,Germany,"Oct 6, 1965",DEF,"Waldhof Mannheim, FC Köln, Bayern Munich, Juventus, Borussia Dortmund"
,Fernando Morientes,Spain,"Apr 5, 1976",FWD,"Albacete, Real Zaragoza, Real Madrid, Monaco, Liverpool, Valencia, Marseille, Santa Ana"
,Solskjær,Norway,"Feb 26, 1973",FWD,"Clausenengen, Molde, Manchester United"
,Freddie Ljungberg,Sweden,"Apr 16, 1977",MID,"Halmstad, Arsenal, West Ham United, Seattle Sounders, Chicago Fire, Celtic, Shimizu S-Pulse, Mumbai City"
,Tomáš Rosický,Czech Republic,"Oct 4, 1980",MID,"Sparta Prague, Borussia Dortmund, Arsenal"
,John Arne Riise,Norway,"Sep 24, 1980",DEF,"Aalesund, Monaco, Liverpool, Roma, Fulham, APOEL, Delhi Dynamos, Aalesund, Chennaiyin"
,Ludovic Giuly,France,"Jul 10, 1976",MID,"Lyon, Monaco, Barcelona, Roma, Paris Saint-Germain, Lorient, Monts d'Or Azergues"
,Sami Al-Jaber,Saudi Arabia,"Dec 11, 1972",FWD,"Al-Hilal, Wolverhampton Wanderers"
,Park Ji-sung,South Korea,"Feb 25, 1981",MID,"Kyoto Purple Sanga, PSV Eindhoven, Manchester United, Queens Park Rangers"
,Blaise Matuidi,France,"Apr 9, 1987",MID,"Troyes, Saint-Étienne, Paris Saint-Germain, Juventus, Inter Miami"
,Joan Capdevila,Spain,"Feb 3, 1978",DEF,"Espanyol, Atlético Madrid, Deportivo La Coruña, Villarreal, Benfica, NorthEast United, Lierse, Santa Coloma"
,Dirk Kuyt,Netherlands,"Jul 22, 1980",MID,"Utrecht, Feyenoord, Liverpool, Fenerbahçe, Quick Boys"
,Sidney Govou,France,"Jul 27, 1979",FWD,"Lyon, Panathinaikos, Évian, Lyon Duchère, MDA Chasselay, FC Miami City"
,Ledley King,England,"Oct 12, 1980",DEF,Tottenham Hotspur
,Claudio Pizarro,Peru,"Oct 3, 1978",FWD,"Deportivo Pesquero, Alianza Lima, Werder Bremen, Bayern Munich, Chelsea, FC Köln"
,Mario Mandžukić,Croatia,"May 21, 1986",FWD,"Marsonia, NK Zagreb, Dinamo Zagreb, VfL Wolfsburg, Bayern Munich, Atlético Madrid, Juventus, Al-Duhail, AC Milan"
,Walter Zenga,Italy,"Apr 28, 1960",GK,"Inter Milan, Salernitana, Savona, Sambenedettese, Sampdoria, Padova, New England Revolution"
,Gianluca Pagliuca,Italy,"Dec 18, 1966",GK,"Sampdoria, Inter Milan, Bologna, Ascoli"
,Angelo Peruzzi,Italy,"Feb 16, 1970",GK,"Roma, Hellas Verona, Juventus, Inter Milan, Lazio"
,Walter Vierchowod,Italy,"Apr 6, 1959",DEF,"Como, Fiorentina, Roma, Sampdoria, Juventus, AC Milan, Piacenza"
,Sandro Mazzola,Italy,"Nov 8, 1942",MID,Inter Milan
,Giuseppe Meazza,Italy,"Aug 23, 1910",FWD,"Inter Milan, AC Milan, Juventus, Varese, Atalanta"
,Silvio Piola,Italy,"Sep 29, 1913",FWD,"Pro Vercelli, Lazio, Torino, Juventus, Novara"
,Gunnar Nordahl,Sweden,"Oct 19, 1921",FWD,"Degerfors, IFK Norrköping, AC Milan, Roma"
,Ciro Ferrara,Italy,"Feb 11, 1967",DEF,"Napoli, Juventus"
,Steve McManaman,England,"Feb 11, 1972",MID,"Liverpool, Real Madrid, Manchester City"
,Marek Hamšík,Slovakia,"Jul 27, 1987",MID,"Slovan Bratislava, Brescia, Napoli, Dalian Professional, IFK Göteborg, Trabzonspor"
,Claudio Marchisio,Italy,"Jan 19, 1986",MID,"Juventus, Empoli, Zenit Saint Petersburg"
,Harry Kewell,Australia,"Sep 22, 1978",MID,"Leeds United, Liverpool, Galatasaray, Melbourne Victory, Al-Gharafa, Melbourne Heart"
,Dimitar Berbatov,Bulgaria,"Jan 30, 1981",FWD,"CSKA Sofia, Bayer Leverkusen, Tottenham Hotspur, Manchester United, Fulham, Monaco, PAOK, Kerala Blasters"
,Joe Cole,England,"Nov 8, 1981",MID,"West Ham United, Chelsea, Liverpool, Lille, Aston Villa, Coventry City, Tampa Bay Rowdies"
,Daniele De Rossi,Italy,"Jul 24, 1983",MID,"Roma, Boca Juniors"
,Pablo Aimar,Argentina,"Nov 3, 1979",MID,"River Plate, Valencia, Real Zaragoza, Benfica, Johor Darul Ta'zim, Estudiantes de Río Cuarto"
,Gilberto Silva,Brazil,"Oct 7, 1976",MID,"América Mineiro, Atlético Mineiro, Arsenal, Panathinaikos, Grêmio"
,Roy Makaay,Netherlands,"Mar 9, 1975",FWD,"Vitesse, Tenerife, Deportivo La Coruña, Bayern Munich, Feyenoord"
,Andrea Barzagli,Italy,"May 8, 1981",DEF,"Rondinella, Pistoiese, Ascoli, Chievo, Palermo, VfL Wolfsburg, Juventus"
,Landon Donovan,United States,"Mar 4, 1982",MID,"Bayer Leverkusen, San Jose Earthquakes, Los Angeles Galaxy, Bayern Munich, Everton, Club León, San Diego Sockers"
,Euzebiusz Smolarek,Poland,"Jan 9, 1981",FWD,"Feyenoord, Borussia Dortmund, Racing Santander, Bolton Wanderers, Kavala, Polonia Warsaw, Al-Khor, ADO Den Haag, Jagiellonia Białystok"
,Al-Noor,Saudi Arabia,"Feb 26, 1978",MID,"Ittihad Club, Al-Nassr"
,Víctor Ibarbo,Colombia,"May 19, 1990",MID,"Atlético Nacional, Cagliari, Roma, Watford, Atlético Nacional, Panathinaikos, Sagan Tosu, V-Varen Nagasaki, América de Cali"
,Tim Cahill,Australia,"Dec 6, 1979",FWD,"Millwall, Everton, New York Red Bulls, Shanghai Shenhua, Hangzhou Greentown, Melbourne City, Jamshedpur FC"
,DaMarcus Beasley,United States,"May 24, 1982",MID,"Chicago Fire, PSV Eindhoven, Manchester City, Rangers, Hannover 96, Puebla, Houston Dynamo"
,Gervinho (Yao Kouassi),Ivory Coast,"May 27, 1987",MID,"Beveren, Le Mans, Lille, Arsenal, Roma, Hebei China Fortune, Parma, Trabzonspor, Aris Thessaloniki"
,Tim Howard,United States,"Mar 6, 1979",GK,"North Jersey Imperials, MetroStars, Manchester United, Everton, Colorado Rapids, Memphis 901 FC"
,Peter Crouch,England,"Jan 30, 1981",FWD,"Tottenham Hotspur, Dulwich Hamlet, IFK Hässleholm, Queens Park Rangers, Portsmouth, Aston Villa, Norwich City, Southampton, Liverpool, Stoke City, Burnley"
,Seydou Doumbia,Ivory Coast,"Dec 31, 1987",FWD,"Inter de Abidjan, Athletic Adjame, Toumodi, Denguele, Kashiwa Reysol, Tokushima Vortis, Young Boys, CSKA Moscow, Roma, Newcastle United, Basel, Sporting CP, Girona, Sion, Hamrun Spartans"
,Clint Dempsey,United States,"Mar 9, 1983",MID,"New England Revolution, Fulham, Tottenham Hotspur, Seattle Sounders"
,Ricardo Quaresma,Portugal,"Sep 26, 1983",MID,"Sporting CP, Barcelona, Porto, Inter Milan, Chelsea, Beşiktaş, Al-Ahli, Kasımpaşa, Vitória Guimarães"
,Micah Richards,England,"Jun 24, 1988",DEF,"Manchester City, Fiorentina, Aston Villa"
,Leonardo Bonucci,Italy,"May 1, 1987",DEF,"Inter Milan, Treviso, Pisa, Bari, Juventus, AC Milan, Union Berlin, Fenerbahce"
,Walter Samuel,Argentina,"Mar 23, 1978",DEF,"Newell's Old Boys, Boca Juniors, Roma, Real Madrid, Inter Milan, Basel"
,Marco Materazzi,Italy,"Aug 19, 1973",DEF,"Marsala, Trapani, Perugia, Carpi, Everton, Inter Milan, Chennaiyin"
,Christian Panucci,Italy,"Apr 12, 1973",DEF,"Genoa, AC Milan, Real Madrid, Inter Milan, Chelsea, Monaco, Roma, Parma"
,Aldair,Brazil,"Nov 30, 1965",DEF,"Flamengo, Benfica, Roma, Genoa, Murata"
,Iván Córdoba,Colombia,"Aug 11, 1976",DEF,"Deportivo Rionegro, Atlético Nacional, San Lorenzo, Inter Milan"
,Thiago Silva,Brazil,"Sep 22, 1984",DEF,"RS Futebol, Juventude, Porto, Dynamo Moscow, Fluminense, AC Milan, Paris Saint-Germain, Chelsea"
,Kalidou Koulibaly,Senegal,"Jun 20, 1991",DEF,"Metz, Genk, Napoli, Chelsea, Al-Hilal"
,Tarcisio Burgnich,Italy,"Apr 25, 1939",DEF,"Udinese, Juventus, Palermo, Inter Milan, Napoli"
,Roberto Rosato,Italy,"Apr 3, 1943",DEF,"Torino, AC Milan, Genoa, Aosta"
,Aristide Guarneri,Italy,"Mar 7, 1938",DEF,"Como, Inter Milan, Bologna, Napoli, Cremonese"
,Fulvio Collovati,Italy,"May 9, 1957",DEF,"AC Milan, Inter Milan, Udinese, Roma, Genoa"
,Sandro Salvadore,Italy,"Nov 29, 1939",DEF,"AC Milan, Juventus"
,Cesare Maldini,Italy,"Feb 5, 1932",DEF,"Triestina, AC Milan, Torino"
,Maicon,Brazil,"Jul 26, 1981",DEF,"Cruzeiro, Monaco, Inter Milan, Manchester City, Roma, Avaí, Criciúma, Villa Nova, Sona, Tre Penne"
,Serginho,Brazil,"Jun 27, 1971",DEF,"Itaperuna, Bahia, Flamengo, Cruzeiro, São Paulo, AC Milan"
,Kakha Kaladze,Georgia,"Feb 27, 1978",DEF,"Dinamo Tbilisi, Dynamo Kyiv, AC Milan, Genoa"
,Stephan Lichtsteiner,Switzerland,"Jan 16, 1984",DEF,"Grasshopper, Lille, Lazio, Juventus, Arsenal, Augsburg"
,Moreno Torricelli,Italy,"Jan 23, 1970",DEF,"Oggiono, Caratese, Juventus, Fiorentina, Espanyol, Arezzo"
,Thomas Helveg,Denmark,"Jun 24, 1971",DEF,"Odense, Udinese, AC Milan, Inter Milan, Norwich City, Borussia Mönchengladbach"
,Amedeo Carboni,Italy,"Apr 6, 1965",DEF,"Arezzo, Bari, Empoli, Parma, Sampdoria, Roma, Valencia"
,Gianluca Pessotto,Italy,"Aug 11, 1970",DEF,"Varese, Massese, Bologna, Verona, Torino, Juventus"