Player Name,Nationality,DOB,Position,Senior Clubs Played For,candidate_transfermarkt_id,candidate_wikidata_qid,candidate_name,candidate_dob,candidate_nationality,match_confidence,review_reason
José Luis Chilavert,Paraguay,"Jul 27, 1965",GK,"Sportivo Luqueño, Guaraní, San Lorenzo, Real Zaragoza, Vélez Sarsfield, Strasbourg, Peñarol",,,,,,0,low_confidence
Iván Zamorano,Chile,"Jan 18, 1967",FWD,"Cobresal, Trasandino, Cobreloa, St. Gallen, Sevilla, Real Madrid, Inter Milan, América, Colo-Colo",,,,,,0,low_confidence
Marcelo Salas,Chile,"Dec 24, 1974",FWD,"Universidad de Chile, River Plate, Lazio, Juventus",,,,,,0,low_confidence
Teófilo Cubillas,Peru,"Mar 8, 1949",MID,"Alianza Lima, Basel, Porto, Fort Lauderdale Strikers, Miami Sharks",,,,,,0,low_confidence
Hugo Sánchez,Mexico,"Jul 11, 1958",FWD,"UNAM, San Diego Sockers, Atlético Madrid, Real Madrid, América, Rayo Vallecano, Atlante, Linz, Dallas Burn, Celaya",,,,,,0,low_confidence
Jorge Campos,Mexico,"Oct 15, 1966",GK,"UNAM, Atlante, Los Angeles Galaxy, Cruz Azul, Chicago Fire, Tigres UANL, Puebla",,,,,,0,low_confidence
Rabah Madjer,Algeria,"Feb 15, 1958",FWD,"NA Hussein Dey, Racing Club de France, Tours, Porto, Valencia, Qatar SC",,,,,,0,low_confidence
Lakhdar Belloumi,Algeria,"Dec 29, 1958",MID,"GC Mascara, MP Oran, MC Alger, USM Bel Abbès, ASM Oran",,,,,,0,low_confidence
Thomas N'Kono,Cameroon,"Jul 20, 1956",GK,"Canon Yaoundé, Tonnerre Yaoundé, Espanyol, Sabadell, Hospitalet, Bolívar",,,,,,0,low_confidence
Rigobert Song,Cameroon,"Jul 1, 1976",DEF,"Tonnerre Yaoundé, Metz, Salernitana, Liverpool, West Ham United, FC Köln, Galatasaray, Trabzonspor",,,,,,0,low_confidence
Kalusha Bwalya,Zambia,"Aug 16, 1963",MID,"Mufulira Wanderers, Cercle Brugge, PSV Eindhoven, América, Necaxa, Al-Wahda, León, Irapuato, Veracruz, Correcaminos",,,,,,0,low_confidence
Lucas Radebe,South Africa,"Apr 12, 1969",DEF,"Kaizer Chiefs, Leeds United",,,,,,0,low_confidence
Cha Bum-kun,South Korea,"May 22, 1953",FWD,"Seoul Trust Bank, Air Force FC, SV Darmstadt 98, Eintracht Frankfurt, Bayer Leverkusen",,,,,,0,low_confidence
Kazuyoshi Miura,Japan,"Feb 26, 1967",FWD,"Juventus-SP, Santos, Matsubara, CRB, XV de Jaú, Coritiba, Verdy Kawasaki, Genoa, Croatia Zagreb, Kyoto Purple Sanga, Vissel Kobe, Yokohama FC, Sydney FC, Atletico Suzuka",,,,,,0,low_confidence
Ali Daei,Iran,"Mar 21, 1969",FWD,"Taxirani, Bank Tejarat, Al-Sadd, Arminia Bielefeld, Bayern Munich, Hertha BSC, Al-Shabab, Saba Battery, Persepolis, Saipa",,,,,,0,low_confidence
Majed Abdullah,Saudi Arabia,"Nov 1, 1959",FWD,Al-Nassr,,,,,,0,low_confidence
Saeed Al-Owairan,Saudi Arabia,"Aug 19, 1967",MID,Al-Shabab,,,,,,0,low_confidence
Wynton Rufer,New Zealand,"Dec 29, 1962",FWD,"Stop Out, Wellington Diamond United, Norwich City, FC Zürich, Aarau, Grasshopper, Werder Bremen, JEF United Ichihara, Central United, Football Kingz",,,,,,0,low_confidence
Alessandro Nesta,Italy,"Mar 19, 1976",DEF,"Lazio, AC Milan, Montreal Impact, Chennaiyin FC",,,,,,0,low_confidence
Fabio Cannavaro,Italy,"Sep 13, 1973",DEF,"Napoli, Parma, Inter Milan, Juventus, Real Madrid, Al-Ahli",,,,,,0,low_confidence
Giorgio Chiellini,Italy,"Aug 14, 1984",DEF,"Livorno, Fiorentina, Juventus, Los Angeles FC",,,,,,0,low_confidence
Andrés Iniesta,Spain,"May 11, 1984",MID,"Barcelona, Vissel Kobe, Emirates Club",,,,,,0,low_confidence
Carlos Alberto,Brazil,"Jul 17, 1944",DEF,"Fluminense, Santos, Flamengo, New York Cosmos, California Surf",,,,,,0,low_confidence
Nemanja Vidić,Serbia,"Oct 21, 1981",DEF,"Red Star Belgrade, Spartak Subotica, Spartak Moscow, Manchester United, Inter Milan",,,,,,0,low_confidence
Claude Makélélé,France,"Feb 18, 1973",MID,"Nantes, Marseille, Celta Vigo, Real Madrid, Chelsea, Paris Saint-Germain",,,,,,0,low_confidence
Breno (Bledorn Verri),Brazil,"Oct 13, 1989",DEF,"São Paulo, Bayern Munich, Nürnberg, Vasco da Gama",,,,,,0,low_confidence
Gennaro Gattuso,Italy,"Jan 9, 1978",MID,"Perugia, Rangers, Salernitana, AC Milan, Sion",,,,,,0,low_confidence
Sol Campbell,England,"Sep 18, 1974",DEF,"Tottenham Hotspur, Arsenal, Portsmouth, Notts County, Newcastle United",,,,,,0,low_confidence
Gianluca Zambrotta,Italy,"Feb 19, 1977",DEF,"Como, Bari, Juventus, Barcelona, AC Milan, Chiasso",,,,,,0,low_confidence
Javier Mascherano,Argentina,"Jun 8, 1984",DEF,"River Plate, Corinthians, West Ham United, Liverpool, Barcelona, Hebei China Fortune, Estudiantes",,,,,,0,low_confidence
Rafael Márquez,Mexico,"Feb 13, 1979",DEF,"Atlas, Monaco, Barcelona, New York Red Bulls, León, Hellas Verona",,,,,,0,low_confidence
Paulo Futre,Portugal,"Feb 28, 1966",FWD,"Sporting CP, Porto, Atlético Madrid, Benfica, Marseille, Reggiana, AC Milan, West Ham United, Yokohama Flügels",,,,,,0,low_confidence
Bixente Lizarazu,France,"Dec 9, 1969",DEF,"Bordeaux, Athletic Bilbao, Bayern Munich, Marseille",,,,,,0,low_confidence
Diego Forlán,Uruguay,"May 19, 1979",FWD,"Independiente, Manchester United, Villarreal, Atlético Madrid, Inter Milan, Internacional, Cerezo Osaka, Peñarol, Mumbai City, Kitchee",,,,,,0,low_confidence
Ricardo Carvalho,Portugal,"May 18, 1978",DEF,"Leça, Porto, Vitória Setúbal, Alverca, Chelsea, Real Madrid, Monaco, Shanghai SIPG",,,,,,0,low_confidence
Diego Milito,Argentina,"Jun 12, 1979",FWD,"Racing Club, Genoa, Real Zaragoza, Inter Milan",,,,,,0,low_confidence
Mario Gómez,Germany,"Jul 10, 1985",FWD,"VfB Stuttgart, Bayern Munich, Fiorentina, Beşiktaş",,,,,,0,low_confidence
Vincent Kompany,Belgium,"Apr 10, 1986",DEF,"Anderlecht, Hamburger SV, Manchester City",,,,,,0,low_confidence
Douglas Maicon,Brazil,"Jul 26, 1981",DEF,"Cruzeiro, Monaco, Inter Milan, Manchester City, Roma, Avaí, Criciúma, Villa Nova, Sona",,,,,,0,low_confidence
David Ginola,France,"Jan 25, 1967",MID,"Toulon, Racing Club de France, Brest, Paris Saint-Germain, Newcastle United, Tottenham Hotspur, Aston Villa, Everton",,,,,,0,low_confidence
Jürgen Kohler,Germany,"Oct 6, 1965",DEF,"Waldhof Mannheim, FC Köln, Bayern Munich, Juventus, Borussia Dortmund",,,,,,0,low_confidence
Fernando Morientes,Spain,"Apr 5, 1976",FWD,"Albacete, Real Zaragoza, Real Madrid, Monaco, Liverpool, Valencia, Marseille, Santa Ana",,,,,,0,low_confidence
Solskjær,Norway,"Feb 26, 1973",FWD,"Clausenengen, Molde, Manchester United",,,,,,0,low_confidence
Freddie Ljungberg,Sweden,"Apr 16, 1977",MID,"Halmstad, Arsenal, West Ham United, Seattle Sounders, Chicago Fire, Celtic, Shimizu S-Pulse, Mumbai City",,,,,,0,low_confidence
Tomáš Rosický,Czech Republic,"Oct 4, 1980",MID,"Sparta Prague, Borussia Dortmund, Arsenal",,,,,,0,low_confidence
John Arne Riise,Norway,"Sep 24, 1980",DEF,"Aalesund, Monaco, Liverpool, Roma, Fulham, APOEL, Delhi Dynamos, Aalesund, Chennaiyin",,,,,,0,low_confidence
Ludovic Giuly,France,"Jul 10, 1976",MID,"Lyon, Monaco, Barcelona, Roma, Paris Saint-Germain, Lorient, Monts d'Or Azergues",,,,,,0,low_confidence
Sami Al-Jaber,Saudi Arabia,"Dec 11, 1972",FWD,"Al-Hilal, Wolverhampton Wanderers",,,,,,0,low_confidence
Park Ji-sung,South Korea,"Feb 25, 1981",MID,"Kyoto Purple Sanga, PSV Eindhoven, Manchester United, Queens Park Rangers",,,,,,0,low_confidence
Blaise Matuidi,France,"Apr 9, 1987",MID,"Troyes, Saint-Étienne, Paris Saint-Germain, Juventus, Inter Miami",,,,,,0,low_confidence
Joan Capdevila,Spain,"Feb 3, 1978",DEF,"Espanyol, Atlético Madrid, Deportivo La Coruña, Villarreal, Benfica, NorthEast United, Lierse, Santa Coloma",,,,,,0,low_confidence
Dirk Kuyt,Netherlands,"Jul 22, 1980",MID,"Utrecht, Feyenoord, Liverpool, Fenerbahçe, Quick Boys",,,,,,0,low_confidence
Sidney Govou,France,"Jul 27, 1979",FWD,"Lyon, Panathinaikos, Évian, Lyon Duchère, MDA Chasselay, FC Miami City",,,,,,0,low_confidence
Ledley King,England,"Oct 12, 1980",DEF,Tottenham Hotspur,,,,,,0,low_confidence
Claudio Pizarro,Peru,"Oct 3, 1978",FWD,"Deportivo Pesquero, Alianza Lima, Werder Bremen, Bayern Munich, Chelsea, FC Köln",,,,,,0,low_confidence
Mario Mandžukić,Croatia,"May 21, 1986",FWD,"Marsonia, NK Zagreb, Dinamo Zagreb, VfL Wolfsburg, Bayern Munich, Atlético Madrid, Juventus, Al-Duhail, AC Milan",,,,,,0,low_confidence
Walter Zenga,Italy,"Apr 28, 1960",GK,"Inter Milan, Salernitana, Savona, Sambenedettese, Sampdoria, Padova, New England Revolution",,,,,,0,low_confidence
Gianluca Pagliuca,Italy,"Dec 18, 1966",GK,"Sampdoria, Inter Milan, Bologna, Ascoli",,,,,,0,low_confidence
Angelo Peruzzi,Italy,"Feb 16, 1970",GK,"Roma, Hellas Verona, Juventus, Inter Milan, Lazio",,,,,,0,low_confidence
Walter Vierchowod,Italy,"Apr 6, 1959",DEF,"Como, Fiorentina, Roma, Sampdoria, Juventus, AC Milan, Piacenza",,,,,,0,low_confidence
Sandro Mazzola,Italy,"Nov 8, 1942",MID,Inter Milan,,,,,,0,low_confidence
Giuseppe Meazza,Italy,"Aug 23, 1910",FWD,"Inter Milan, AC Milan, Juventus, Varese, Atalanta",,,,,,0,low_confidence
Silvio Piola,Italy,"Sep 29, 1913",FWD,"Pro Vercelli, Lazio, Torino, Juventus, Novara",,,,,,0,low_confidence
Gunnar Nordahl,Sweden,"Oct 19, 1921",FWD,"Degerfors, IFK Norrköping, AC Milan, Roma",,,,,,0,low_confidence
Ciro Ferrara,Italy,"Feb 11, 1967",DEF,"Napoli, Juventus",,,,,,0,low_confidence
Steve McManaman,England,"Feb 11, 1972",MID,"Liverpool, Real Madrid, Manchester City",,,,,,0,low_confidence
Marek Hamšík,Slovakia,"Jul 27, 1987",MID,"Slovan Bratislava, Brescia, Napoli, Dalian Professional, IFK Göteborg, Trabzonspor",,,,,,0,low_confidence
Claudio Marchisio,Italy,"Jan 19, 1986",MID,"Juventus, Empoli, Zenit Saint Petersburg",,,,,,0,low_confidence
Harry Kewell,Australia,"Sep 22, 1978",MID,"Leeds United, Liverpool, Galatasaray, Melbourne Victory, Al-Gharafa, Melbourne Heart",,,,,,0,low_confidence
Dimitar Berbatov,Bulgaria,"Jan 30, 1981",FWD,"CSKA Sofia, Bayer Leverkusen, Tottenham Hotspur, Manchester United, Fulham, Monaco, PAOK, Kerala Blasters",,,,,,0,low_confidence
Joe Cole,England,"Nov 8, 1981",MID,"West Ham United, Chelsea, Liverpool, Lille, Aston Villa, Coventry City, Tampa Bay Rowdies",,,,,,0,low_confidence
Daniele De Rossi,Italy,"Jul 24, 1983",MID,"Roma, Boca Juniors",,,,,,0,low_confidence
Pablo Aimar,Argentina,"Nov 3, 1979",MID,"River Plate, Valencia, Real Zaragoza, Benfica, Johor Darul Ta'zim, Estudiantes de Río Cuarto",,,,,,0,low_confidence
Gilberto Silva,Brazil,"Oct 7, 1976",MID,"América Mineiro, Atlético Mineiro, Arsenal, Panathinaikos, Grêmio",,,,,,0,low_confidence
Roy Makaay,Netherlands,"Mar 9, 1975",FWD,"Vitesse, Tenerife, Deportivo La Coruña, Bayern Munich, Feyenoord",,,,,,0,low_confidence
Andrea Barzagli,Italy,"May 8, 1981",DEF,"Rondinella, Pistoiese, Ascoli, Chievo, Palermo, VfL Wolfsburg, Juventus",,,,,,0,low_confidence
Landon Donovan,United States,"Mar 4, 1982",MID,"Bayer Leverkusen, San Jose Earthquakes, Los Angeles Galaxy, Bayern Munich, Everton, Club León, San Diego Sockers",,,,,,0,low_confidence
Euzebiusz Smolarek,Poland,"Jan 9, 1981",FWD,"Feyenoord, Borussia Dortmund, Racing Santander, Bolton Wanderers, Kavala, Polonia Warsaw, Al-Khor, ADO Den Haag, Jagiellonia Białystok",,,,,,0,low_confidence
Al-Noor,Saudi Arabia,"Feb 26, 1978",MID,"Ittihad Club, Al-Nassr",,,,,,0,low_confidence
Víctor Ibarbo,Colombia,"May 19, 1990",MID,"Atlético Nacional, Cagliari, Roma, Watford, Atlético Nacional, Panathinaikos, Sagan Tosu, V-Varen Nagasaki, América de Cali",,,,,,0,low_confidence
Tim Cahill,Australia,"Dec 6, 1979",FWD,"Millwall, Everton, New York Red Bulls, Shanghai Shenhua, Hangzhou Greentown, Melbourne City, Jamshedpur FC",,,,,,0,low_confidence
DaMarcus Beasley,United States,"May 24, 1982",MID,"Chicago Fire, PSV Eindhoven, Manchester City, Rangers, Hannover 96, Puebla, Houston Dynamo",,,,,,0,low_confidence
Gervinho (Yao Kouassi),Ivory Coast,"May 27, 1987",MID,"Beveren, Le Mans, Lille, Arsenal, Roma, Hebei China Fortune, Parma, Trabzonspor, Aris Thessaloniki",,,,,,0,low_confidence
Tim Howard,United States,"Mar 6, 1979",GK,"North Jersey Imperials, MetroStars, Manchester United, Everton, Colorado Rapids, Memphis 901 FC",,,,,,0,low_confidence
Peter Crouch,England,"Jan 30, 1981",FWD,"Tottenham Hotspur, Dulwich Hamlet, IFK Hässleholm, Queens Park Rangers, Portsmouth, Aston Villa, Norwich City, Southampton, Liverpool, Stoke City, Burnley",,,,,,0,low_confidence
Seydou Doumbia,Ivory Coast,"Dec 31, 1987",FWD,"Inter de Abidjan, Athletic Adjame, Toumodi, Denguele, Kashiwa Reysol, Tokushima Vortis, Young Boys, CSKA Moscow, Roma, Newcastle United, Basel, Sporting CP, Girona, Sion, Hamrun Spartans",,,,,,0,low_confidence
Clint Dempsey,United States,"Mar 9, 1983",MID,"New England Revolution, Fulham, Tottenham Hotspur, Seattle Sounders",,,,,,0,low_confidence
Ricardo Quaresma,Portugal,"Sep 26, 1983",MID,"Sporting CP, Barcelona, Porto, Inter Milan, Chelsea, Beşiktaş, Al-Ahli, Kasımpaşa, Vitória Guimarães",,,,,,0,low_confidence
Micah Richards,England,"Jun 24, 1988",DEF,"Manchester City, Fiorentina, Aston Villa",,,,,,0,low_confidence
Leonardo Bonucci,Italy,"May 1, 1987",DEF,"Inter Milan, Treviso, Pisa, Bari, Juventus, AC Milan, Union Berlin, Fenerbahce",,,,,,0,low_confidence
Walter Samuel,Argentina,"Mar 23, 1978",DEF,"Newell's Old Boys, Boca Juniors, Roma, Real Madrid, Inter Milan, Basel",,,,,,0,low_confidence
Marco Materazzi,Italy,"Aug 19, 1973",DEF,"Marsala, Trapani, Perugia, Carpi, Everton, Inter Milan, Chennaiyin",,,,,,0,low_confidence
Christian Panucci,Italy,"Apr 12, 1973",DEF,"Genoa, AC Milan, Real Madrid, Inter Milan, Chelsea, Monaco, Roma, Parma",,,,,,0,low_confidence
Aldair,Brazil,"Nov 30, 1965",DEF,"Flamengo, Benfica, Roma, Genoa, Murata",,,,,,0,low_confidence
Iván Córdoba,Colombia,"Aug 11, 1976",DEF,"Deportivo Rionegro, Atlético Nacional, San Lorenzo, Inter Milan",,,,,,0,low_confidence
Thiago Silva,Brazil,"Sep 22, 1984",DEF,"RS Futebol, Juventude, Porto, Dynamo Moscow, Fluminense, AC Milan, Paris Saint-Germain, Chelsea",,,,,,0,low_confidence
Kalidou Koulibaly,Senegal,"Jun 20, 1991",DEF,"Metz, Genk, Napoli, Chelsea, Al-Hilal",,,,,,0,low_confidence
Tarcisio Burgnich,Italy,"Apr 25, 1939",DEF,"Udinese, Juventus, Palermo, Inter Milan, Napoli",,,,,,0,low_confidence
Roberto Rosato,Italy,"Apr 3, 1943",DEF,"Torino, AC Milan, Genoa, Aosta",,,,,,0,low_confidence
Aristide Guarneri,Italy,"Mar 7, 1938",DEF,"Como, Inter Milan, Bologna, Napoli, Cremonese",,,,,,0,low_confidence
Fulvio Collovati,Italy,"May 9, 1957",DEF,"AC Milan, Inter Milan, Udinese, Roma, Genoa",,,,,,0,low_confidence
Sandro Salvadore,Italy,"Nov 29, 1939",DEF,"AC Milan, Juventus",,,,,,0,low_confidence
Cesare Maldini,Italy,"Feb 5, 1932",DEF,"Triestina, AC Milan, Torino",,,,,,0,low_confidence
Maicon,Brazil,"Jul 26, 1981",DEF,"Cruzeiro, Monaco, Inter Milan, Manchester City, Roma, Avaí, Criciúma, Villa Nova, Sona, Tre Penne",,,,,,0,low_confidence
Serginho,Brazil,"Jun 27, 1971",DEF,"Itaperuna, Bahia, Flamengo, Cruzeiro, São Paulo, AC Milan",,,,,,0,low_confidence
Kakha Kaladze,Georgia,"Feb 27, 1978",DEF,"Dinamo Tbilisi, Dynamo Kyiv, AC Milan, Genoa",,,,,,0,low_confidence
Stephan Lichtsteiner,Switzerland,"Jan 16, 1984",DEF,"Grasshopper, Lille, Lazio, Juventus, Arsenal, Augsburg",,,,,,0,low_confidence
Moreno Torricelli,Italy,"Jan 23, 1970",DEF,"Oggiono, Caratese, Juventus, Fiorentina, Espanyol, Arezzo",,,,,,0,low_confidence
Thomas Helveg,Denmark,"Jun 24, 1971",DEF,"Odense, Udinese, AC Milan, Inter Milan, Norwich City, Borussia Mönchengladbach",,,,,,0,low_confidence
Amedeo Carboni,Italy,"Apr 6, 1965",DEF,"Arezzo, Bari, Empoli, Parma, Sampdoria, Roma, Valencia",,,,,,0,low_confidence
Gianluca Pessotto,Italy,"Aug 11, 1970",DEF,"Varese, Massese, Bologna, Verona, Torino, Juventus",,,,,,0,low_confidence
